代碼,公司,主題,年,月,當月營收(億),月增率%,年增率%,累計營收(億),累計年增率%,資料來源,更新時間
2344,華邦電子,Specialty DRAM+NOR Flash,2026,3,145.01,21.11,91.49,,,winvest.tw,2026-04-14T20:57:55.279298
2344,華邦電子,Specialty DRAM+NOR Flash,2026,2,119.73,1.65,88.45,,,winvest.tw,2026-03-30T09:11:24.856921
2344,華邦電子,Specialty DRAM+NOR Flash,2026,1,0.118,20.55,94.16,,,web_search,2026-04-14T20:58:58.052703
2345,智邦,CPO L4 交換器系統,2026,2,235.83,9.55,82.7,,,winvest.tw,2026-03-30T09:11:25.146536
2408,南亞科技,DRAM/HBM 超級循環,2026,3,181.7,16.42,560.04,,,winvest.tw,2026-04-14T20:38:16.698844
2408,南亞科技,DRAM/HBM 超級循環,2026,2,156.07,1.94,586.71,,,winvest.tw,2026-03-30T09:11:24.764469
2455,全新光電,InP 磊晶 L1,2026,3,3.11,1.14,16.64,,,winvest.tw,2026-04-14T20:38:17.276221
2455,全新光電,InP 磊晶 L1,2026,2,0.308,-9.57,15.89,,,winvest.tw,2026-03-18T22:16:12.035944
3037,欣興電子,ABF 載板 全球龍頭,2026,2,116.0,-9.14,16.18,,,winvest.tw,2026-03-30T09:12:27.987331
3081,聯亞光電,InP 磊晶 L1,2026,3,3.43,18.26,89.35,,,winvest.tw,2026-04-14T20:38:17.692636
3081,聯亞光電,InP 磊晶 L1,2026,2,2.9,7.21,91.44,,,winvest.tw,2026-03-30T09:11:24.952280
3105,穩懋半導體,GaAs 晶圓代工 L2,2026,3,16.49,11.87,34.25,,,winvest.tw,2026-04-14T20:38:17.878932
3105,穩懋半導體,GaAs 晶圓代工 L2,2026,2,14.74,0.41,25.92,,,winvest.tw,2026-03-30T09:11:25.037348
3163,波若威,CPO L3 特種光纖,2026,2,1.74,-25.9,5.34,,,winvest.tw,2026-03-29T20:23:32.852626
3189,景碩科技,ABF+BT+CoWoS 基板,2026,2,32.04,-19.1,10.0,,,winvest.tw,2026-03-30T09:12:28.220444
3363,上詮光纖,CPO L1 光通訊,2026,3,1.17,-8.39,-25.71,,,winvest.tw,2026-04-14T20:38:17.040985
3363,上詮光纖,CPO L1 光通訊,2026,2,1.28,-6.34,27.67,,,winvest.tw（手動修正）,2026-03-29T20:23:32.850653
4919,新唐科技,嵌入式控制器,2026,3,31.39,31.66,-6.06,,,winvest.tw,2026-04-14T20:38:18.069173
4919,新唐科技,嵌入式控制器,2026,2,2.384,-3.24,-7.27,,,winvest.tw,2026-03-18T22:16:12.036944
4977,眾達-KY,CPO L3 光模組,2026,2,0.882,168.97,-17.45,,,winvest.tw,2026-03-29T20:23:32.852086
4979,華星光通,CW Laser 封裝 L2,2026,3,4.52,37.01,20.18,,,winvest.tw,2026-04-14T20:38:17.500834
4979,華星光通,CW Laser 封裝 L2,2026,2,0.33,-20.07,-9.97,,,winvest.tw,2026-03-18T22:16:12.036450
6223,旺矽,CPO 測試 Probe Card,2026,2,13.16,7.26,45.54,,,winvest.tw,2026-03-30T09:11:25.242173
6442,光聖,CPO L3 光纖連接器,2026,2,7.39,-22.62,44.09,,,winvest.tw,2026-03-29T20:23:32.851519
8046,南亞電路板,ABF+BT 載板,2026,2,31.66,-14.9,12.84,,,winvest.tw,2026-03-30T09:12:28.100272
